Dunbar,10024,-2.5166,56.0,1223974,1223974*1223974*1220374*1227574*1216774*1234774*1216774*1234774*1223974*1223974*1220374*1227574*1216774*1234774*1216774*1234774*1223975*1223975*1220375*1227575*1216775*1234775*1216775*1234775*1223973*1223973*1220373*1227573*1216773*1234773*1216773*1234773*1223976*1223976*1220376*1227576*1216776*1234776*1216776*1234776*1223972*1223972*1220372*1227572*1216772*1234772*1216772*1234772*1223977*1223977*1220377*1227577*1216777*1234777*1216777*1234777*1223971*1223971*1220371*1227571*1216771*1234771*1216771*1234771*1223978*1223978*1220378*1227578*1216778*1234778*1216778*1234778*1223970*1223970*1220370*1227570*1216770*1234770*1216770*1234770*1223979*1223979*1220379*1227579*1216779*1234779*1216779*1234779*1223969*1223969*1220369*1227569*1216769*1234769*1216769*1234769*
Portrush,10026,-6.6666,55.2,1252733,1252733*1252733*1249133*1256333*1245533*1259933*1241933*1263533*1252733*1252733*1249133*1256333*1245533*1259933*1241933*1263533*1252734*1252734*1249134*1256334*1245534*1259934*1241934*1263534*1252732*1252732*1249132*1256332*1245532*1259932*1241932*1263532*1252735*1252735*1249135*1256335*1245535*1259935*1241935*1263535*1252731*1252731*1249131*1256331*1245531*1259931*1241931*1263531*1252736*1252736*1249136*1256336*1245536*1259936*1241936*1263536*1252730*1252730*1249130*1256330*1245530*1259930*1241930*1263530*1252737*1252737*1249137*1256337*1245537*1259937*1241937*1263537*1252729*1252729*1249129*1256329*1245529*1259929*1241929*1263529*
Karavostassi,10027,32.8166,35.1333,1976728,1976728*1976728*1973128*1980328*1969528*1983928*1965928*1987528*1976728*1976728*1973128*1980328*1969528*1983928*1965928*1987528*1976729*1976729*1973129*1980329*1969529*1983929*1965929*1987529*1976727*1976727*1973127*1980327*1969527*1983927*1965927*1987527*1976730*1976730*1973130*1980330*1969530*1983930*1965930*1987530*1976726*1976726*1973126*1980326*1969526*1983926*1965926*1987526*1976731*1976731*1973131*1980331*1969531*1983931*1965931*1987531*1976725*1976725*1973125*1980325*1969525*1983925*1965925*1987525*
Hulaylah,10028,55.9397,25.9677,2308159,2308159*2308159*2304559*2311759*2300959*2315359*2297359*2318959*2308159*2308159*2304559*2311759*2300959*2315359*2297359*2318959*2308160*2308160*2304560*2311760*2300960*2315360*2297360*2318960*2308158*2308158*2304558*2311758*2300958*2315358*2297358*2318958*2308161*2308161*2304561*2311761*2300961*2315361*2297361*2318961*2308157*2308157*2304557*2311757*2300957*2315357*2297357*2318957*2308162*2308162*2304562*2311762*2300962*2315362*2297362*2318962*2308156*2308156*2304556*2311756*2300956*2315356*2297356*2318956*
Mistaken Island,10030,116.6666,-20.6499,3986366,3986366*3986366*3982766*3989966*3979166*3993566*3975566*3997166*3986366*3986366*3982766*3989966*3979166*3993566*3975566*3997166*3986367*3986367*3982767*3989967*3979167*3993567*3975567*3997167*3986365*3986365*3982765*3989965*3979165*3993565*3975565*3997165*3986368*3986368*3982768*3989968*3979168*3993568*3975568*3997168*3986364*3986364*3982764*3989964*3979164*3993564*3975564*3997164*3986369*3986369*3982769*3989969*3979169*3993569*3975569*3997169*3986363*3986363*3982763*3989963*3979163*3993563*3975563*3997163*
Kanokawa,10032,132.4355,34.1772,2013724,2013724*2013724*2010124*2017324*2006524*2020924*2002924*2024524*2013724*2013724*2010124*2017324*2006524*2020924*2002924*2024524*2013725*2013725*2010125*2017325*2006525*2020925*2002925*2024525*2013723*2013723*2010123*2017323*2006523*2020923*2002923*2024523*2013726*2013726*2010126*2017326*2006526*2020926*2002926*2024526*2013722*2013722*2010122*2017322*2006522*2020922*2002922*2024522*2013727*2013727*2010127*2017327*2006527*2020927*2002927*2024527*2013721*2013721*2010121*2017321*2006521*2020921*2002921*2024521*
Sligo,10035,-8.4666,54.2666,1288715,1288715*1288715*1285115*1292315*1281515*1295915*1277915*1299515*1288715*1288715*1285115*1292315*1281515*1295915*1277915*1299515*1288716*1288716*1285116*1292316*1281516*1295916*1277916*1299516*1288714*1288714*1285114*1292314*1281514*1295914*1277914*1299514*1288717*1288717*1285117*1292317*1281517*1295917*1277917*1299517*1288713*1288713*1285113*1292313*1281513*1295913*1277913*1299513*1288718*1288718*1285118*1292318*1281518*1295918*1277918*1299518*1288712*1288712*1285112*1292312*1281512*1295912*1277912*1299512*1288719*1288719*1285119*1292319*1281519*1295919*1277919*1299519*1288711*1288711*1285111*1292311*1281511*1295911*1277911*1299511*
General San Martin,10039,-76.2833,-13.8,3736037,3736037*3736037*3732437*3739637*3728837*3743237*3725237*3746837*3736037*3736037*3732437*3739637*3728837*3743237*3725237*3746837*3736038*3736038*3732438*3739638*3728838*3743238*3725238*3746838*3736036*3736036*3732436*3739636*3728836*3743236*3725236*3746836*3736039*3736039*3732439*3739639*3728839*3743239*3725239*3746839*3736035*3736035*3732435*3739635*3728835*3743235*3725235*3746835*3736040*3736040*3732440*3739640*3728840*3743240*3725240*3746840*3736034*3736034*3732434*3739634*3728834*3743234*3725234*3746834*
Cayo Arcas Terminal,10044,-91.9833,20.2,2515480,2515480*2515480*2511880*2519080*2508280*2522680*2504680*2526280*2515480*2515480*2511880*2519080*2508280*2522680*2504680*2526280*2515481*2515481*2511881*2519081*2508281*2522681*2504681*2526281*2515479*2515479*2511879*2519079*2508279*2522679*2504679*2526279*2515482*2515482*2511882*2519082*2508282*2522682*2504682*2526282*2515478*2515478*2511878*2519078*2508278*2522678*2504678*2526278*2515483*2515483*2511883*2519083*2508283*2522683*2504683*2526283*2515477*2515477*2511877*2519077*2508277*2522677*2504677*2526277*
Kyrenia,10047,33.3166,35.3333,1969533,1969533*1969533*1965933*1973133*1962333*1976733*1958733*1980333*1969533*1969533*1965933*1973133*1962333*1976733*1958733*1980333*1969534*1969534*1965934*1973134*1962334*1976734*1958734*1980334*1969532*1969532*1965932*1973132*1962332*1976732*1958732*1980332*1969535*1969535*1965935*1973135*1962335*1976735*1958735*1980335*1969531*1969531*1965931*1973131*1962331*1976731*1958731*1980331*1969536*1969536*1965936*1973136*1962336*1976736*1958736*1980336*1969530*1969530*1965930*1973130*1962330*1976730*1958730*1980330*
