Funafuti,10003,39032,179.1957,-8.5028,3551391,3544192*3544193*3544194*3547788*3547789*3547790*3547791*3547792*3547793*3547794*3551388*3551389*3551390*3551391*3551392*3551393*3551394*3554988*3554989*3554990*3554991*3554992*3554993*3554994*3558588*3558589*3558590*3558591*3558592*3558593*3558594*3562188*3562189*3562190*3562191*3562192*3562193*3562194*3540588*3540589*3540590*3540591*3540592*3540593*3540594*3544188*3544189*3544190*3544191*
Campeche Terminal,10021,44151,-90.522,19.8568,2526294,2537091*2537092*2537093*2537094*2537095*2537096*2537097*2515491*2515492*2515493*2515494*2515495*2515496*2515497*2519091*2519092*2519093*2519094*2519095*2519096*2519097*2522691*2522692*2522693*2522694*2522695*2522696*2522697*2526291*2526292*2526293*2526294*2526295*2526296*2526297*2529891*2529892*2529893*2529894*2529895*2529896*2529897*2533491*2533492*2533493*2533494*2533495*2533496*2533497*
Campeche Tanker Terminal,10021,44152,-90.5877,19.8143,2526294,2537091*2537092*2537093*2537094*2537095*2537096*2537097*2515491*2515492*2515493*2515494*2515495*2515496*2515497*2519091*2519092*2519093*2519094*2519095*2519096*2519097*2522691*2522692*2522693*2522694*2522695*2522696*2522697*2526291*2526292*2526293*2526294*2526295*2526296*2526297*2529891*2529892*2529893*2529894*2529895*2529896*2529897*2533491*2533492*2533493*2533494*2533495*2533496*2533497*
Morphou Bay,10027,37562,32.8395,35.1423,1976728,1973125*1973126*1973127*1973128*1973129*1973130*1973131*1976725*1976726*1976727*1976728*1976729*1976730*1976731*1980325*1980326*1980327*1980328*1980329*1980330*1980331*1983925*1983926*1983927*1983928*1983929*1983930*1983931*1987525*1987526*1987527*1987528*1987529*1987530*1987531*1965925*1965926*1965927*1965928*1965929*1965930*1965931*1969525*1969526*1969527*1969528*1969529*1969530*1969531*
Hulaylah Oil Terminal,10028,37489,56.048,25.9549,2308160,2297357*2297358*2297359*2297360*2297361*2297362*2297363*2300957*2300958*2300959*2300960*2300961*2300962*2300963*2304557*2304558*2304559*2304560*2304561*2304562*2304563*2308157*2308158*2308159*2308160*2308161*2308162*2308163*2311757*2311758*2311759*2311760*2311761*2311762*2311763*2315357*2315358*2315359*2315360*2315361*2315362*2315363*2318957*2318958*2318959*2318960*2318961*2318962*2318963*
General San Martin (PISCO) Terminal,10039,36849,-76.2928,-13.8016,3739637,3743234*3743235*3743236*3743237*3743238*3743239*3743240*3746834*3746835*3746836*3746837*3746838*3746839*3746840*3750434*3750435*3750436*3750437*3750438*3750439*3750440*3728834*3728835*3728836*3728837*3728838*3728839*3728840*3732434*3732435*3732436*3732437*3732438*3732439*3732440*3736034*3736035*3736036*3736037*3736038*3736039*3736040*3739634*3739635*3739636*3739637*3739638*3739639*3739640*
Kinder Morgan Terminal,10052,45949,-74.753,40.1413,1795652,1784849*1784850*1784851*1784852*1784853*1784854*1784855*1788449*1788450*1788451*1788452*1788453*1788454*1788455*1792049*1792050*1792051*1792052*1792053*1792054*1792055*1795649*1795650*1795651*1795652*1795653*1795654*1795655*1799249*1799250*1799251*1799252*1799253*1799254*1799255*1802849*1802850*1802851*1802852*1802853*1802854*1802855*1806449*1806450*1806451*1806452*1806453*1806454*1806455*
Kashima Denkai Terminal,10055,18639,140.693,35.9204,1949006,1959808*1959809*1938203*1938204*1938205*1938206*1938207*1938208*1938209*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
Mitsubishi Chemicals,10055,42240,140.685,35.8998,1952606,1959808*1959809*1963403*1963404*1963405*1963406*1963407*1963408*1963409*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
Crude Oil Terminal,10055,42241,140.7114,35.9092,1949007,1959808*1959809*1959810*1938204*1938205*1938206*1938207*1938208*1938209*1938210*1941804*1941805*1941806*1941807*1941808*1941809*1941810*1945404*1945405*1945406*1945407*1945408*1945409*1945410*1949004*1949005*1949006*1949007*1949008*1949009*1949010*1952604*1952605*1952606*1952607*1952608*1952609*1952610*1956204*1956205*1956206*1956207*1956208*1956209*1956210*1959804*1959805*1959806*1959807*
